model,dropout,weight_decay,best_epoch,val_acc,train_acc,f1,recall,val_loss,filename
bilstm,0.2,0.0001,26,89.84843700663087,92.70237202510162,92.70245351685676,92.70237202510162,6.620793238282204,bilstm_dp0.2_wd0.0001.csv
bilstm,0.5,0.0001,26,89.59583201768235,92.65106366183842,92.6511609758357,92.65106366183842,6.747986704111099,bilstm_dp0.5_wd0.0001.csv
bilstm,0.1,0.1,1,50.12630249447427,49.502703556064255,33.615255310074005,49.502703556064255,17.327703773975372,bilstm_dp0.1_wd0.1.csv
bilstm,0.4,0.0001,29,89.72213451215661,93.24900343371354,93.24908939870956,93.24900343371354,6.82327963411808,bilstm_dp0.4_wd0.0001.csv
bilstm,0.3,0.0001,28,89.75371013577518,93.0911315467498,93.0912770803381,93.09113154674982,6.849923521280289,bilstm_dp0.3_wd0.0001.csv
bilstm,0.5,0.001,42,88.82222923902746,92.10245885463948,92.10270484561585,92.10245885463944,7.312615498900413,bilstm_dp0.5_wd0.001.csv
bilstm,0.4,1e-05,31,89.65898326491948,94.38568101985238,94.3857888766092,94.38568101985238,7.039762631058693,bilstm_dp0.4_wd1e-05.csv
bilstm,0.5,0.01,1,50.252604988948534,51.25902829853574,43.008537174958825,51.25902829853574,17.32071816921234,bilstm_dp0.5_wd0.01.csv
bilstm,0.1,1e-05,34,89.7379223239659,94.93428582705135,94.93436041751384,94.93428582705134,7.162649258971214,bilstm_dp0.1_wd1e-05.csv
bilstm,0.5,0.1,1,50.12630249447427,49.55993211508861,36.024010809226034,49.55993211508861,17.327823638916016,bilstm_dp0.5_wd0.1.csv
bilstm,0.3,1e-05,26,89.72213451215661,93.69104471721198,93.69118980014632,93.69104471721198,6.786238506436348,bilstm_dp0.3_wd1e-05.csv
bilstm,0.3,0.01,1,50.2841806125671,51.347831234952835,43.466948520665575,51.347831234952835,17.320937037467957,bilstm_dp0.3_wd0.01.csv
bilstm,0.2,0.001,38,88.83801705083675,91.50057228559024,91.5008368454756,91.50057228559024,7.103080525994301,bilstm_dp0.2_wd0.001.csv
bilstm,0.3,0.1,1,50.12630249447427,49.48099617160674,34.45288477075183,49.48099617160674,17.327752351760864,bilstm_dp0.3_wd0.1.csv
bilstm,0.4,0.01,1,50.410483107041365,51.39321940245491,43.514831219439415,51.3932194024549,17.32071554660797,bilstm_dp0.4_wd0.01.csv
bilstm,0.1,0.001,37,88.91695610988317,91.2953388325374,91.29561208698014,91.2953388325374,7.162560507655144,bilstm_dp0.1_wd0.001.csv
bilstm,0.4,0.1,1,50.12630249447427,49.49678336030311,35.132202961687995,49.49678336030311,17.327786922454834,bilstm_dp0.4_wd0.1.csv
bilstm,0.1,0.0001,28,89.89580044205873,93.13651971425188,93.1366506197712,93.13651971425188,6.770789548754692,bilstm_dp0.1_wd0.0001.csv
bilstm,0.5,1e-05,29,89.75371013577518,93.96929391798557,93.96939496112682,93.96929391798557,6.913417264819145,bilstm_dp0.5_wd1e-05.csv
bilstm,0.1,0.01,1,50.42627091885065,51.2827090815803,43.54883279875153,51.2827090815803,17.32116800546646,bilstm_dp0.1_wd0.01.csv
bilstm,0.2,0.1,1,50.12630249447427,49.45731538856218,33.88972068765698,49.457315388562186,17.32774817943573,bilstm_dp0.2_wd0.1.csv
bilstm,0.4,0.001,41,88.86959267445532,92.1004854560524,92.10073196055252,92.1004854560524,7.161339715123177,bilstm_dp0.4_wd0.001.csv
lstm_attention,0.5,0.01,1,49.87369750552573,50.30587678099222,49.975806678282936,50.30587678099222,17.330298721790314,lstm_attention_dp0.5_wd0.01.csv
lstm_attention,0.1,0.0001,23,89.42216608778024,91.03090342187316,91.03112881899736,91.03090342187316,6.868857756257057,lstm_attention_dp0.1_wd0.0001.csv
